FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003433,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003436,76670,-PnO,NOs,Neoproterozoic to Ordovician sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Ordovician,sedimentary,sedimentary_rock
GA_GUP2.5M_0003437,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003438,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003439,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0003440,76691,Plc,Ps,Permian sedimentary rocks,Predominantly sedimentary rocks,Permian,Cisuralian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003441,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003443,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003444,76685,Plo,Pe,Permian serpentinites,Serpentinised ultramafic rocks,Permian,Cisuralian,meta-igneous ultramafic,metamorphic_rock
GA_GUP2.5M_0003442,76511,A2x,An,Archean granulite-facies metamorphics,High-grade metamorphic rocks generally with granulite facies assemblages,Archean,Archean,high grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0003445,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003446,76640,-Pmdi,Mi,Mesoproterozoic intrusive complexes,Mixed felsic mafic andor alkaline intrusives,Mesoproterozoic,Stenian,igneous intrusive,phaneritic_igneous_rock
GA_GUP2.5M_0003447,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003448,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003449,76500,A3b,Ab,Archean mafic volcanics,Mainly basaltic rocks,Archean,Neoarchean,igneous mafic volcanic,basalt
GA_GUP2.5M_0003450,76623,-Ppam,Ly,Paleoproterozoic amphibolite-facies metamorphics,Medium-grade metamorphic rocks generally with amphibolite-facies assemblages,Paleoproterozoic,Statherian,medium grade metamorphic rock,metamorphic_rock
